Id,Label,timeset ,value,eigencentrality,Rating,Author,Summary
15,Breakdown,,c,0.228714,4.9,Lynn Nanos,"When hospitals release seriously mentally ill patients too soon without outpatient follow-up, the patients can end up homeless, jailed, harming others, or even dead. When patients are deemed suitable for inpatient care, they can languish for weeks in hospital emergency departments before placements become available. Meanwhile, patients who fake the need for care are smoothly and swiftly moved to inpatient settings. Breakdown opens a dialogue with anyone interested in improving the system of care for the seriously mentally ill population. This book helps to answer questions such as: Is inpatient care too inaccessible to those who need it most? Do mental health professionals discriminate against mentally ill patients? Are more stringent measures needed to ensure that patients take their medication? Is borderline personality disorder too serious to be classified as just a personality disorder? Using vignettes based on real interactions with patients, their families, police officers, and other mental health providers, Lynn Nanos shares her passion for helping this population. With more than twenty years of professional experience in the mental health field, her deep interest in helping people who don't know how to request help is evident to readers. A woman travels from Maine to Massachusetts because she was ordered by her voice, a spirit called ""Crystal,"" to make the trip. A foul-smelling and oddly dressed man strolls barefooted into the office, unable to stop talking. A man delivers insects to his neighbors' homes to minimize the effects of poisonous toxins that he says exist in their homes. Breakdown uses objective and dramatic accounts from the psychiatric trenches to appeal for simple and common-sense solutions to reform our dysfunctional system. This book will benefit anyone interested in seeing a glimpse of the broken mental health system way beyond the classroom. It can guide legislative officials, family members, mental health professionals, and law enforcement officers toward a better understanding of the system."
16,Betrayal,,c,0.139881,4.5,Tim Tigner,"IT STARTED AS AN EXPERIMENT. It ended with an invention. He never intended to use it. But then they betrayed him. Imagine Vince Flynn's TERM LIMITS meets David Baldacci's ABSOLUTE POWER. ""Best book I've read in years."" --Matt Mattocks ""The very definition of a page turner!"" --Dick Hill ""An edge of your seat thriller."" --Leslie Obrien. Presumed dead after a staged terrorist attack, FBI Agent Odysseus Carr is running for his life with the doctor who rescued him. Meanwhile, the same power players who sent Odi to his death are now manipulating an FBI profiler into blindly tracking him down. She's not just their best, she's also his sister. As Odi unravels a devious plot of profound political manipulation and global consequence, the hunted becomes the hunter, and the real terror begins. Dear Reader, If you enjoy David Baldacci, Lee Child, Tom Clancy, Nelson DeMille, Ken Follett, Vince Flynn, Andrew Peterson, Daniel Silva, Brad Taylor, or Brad Thor, odds are you'll be smiling a few pages into my books as well. Care to try before you buy? No problem. You can download one my thrillers for free at timtigner.com. Need help putting the kids through college? I can appreciate that. I have a couple of my own. I'm not in a position to help you with tuition yet, but I can provide days of delightful distraction for the price of a cup of coffee, and kind reviews will get good karma sent your way. Thanks for your kind consideration, Tim Amazon named Tim Tigner an All-Star Author in December, 2017 and every month since for being one of the 100 most-read authors in Kindle Unlimited. His books are recommended for fans of David Baldacci, Lee Child’s Jack Reacher, Tom Clancy’s Jack Ryan, Nelson DeMille’s John Corey, Vince Flynn’s Mitch Rapp, Mark Greaney’s Gray Man, Gregg Hurwitz’s Orphan X, Robert Ludlum’s Jason Bourne, John Sandford’s Lucas Davenport, Daniel Silva’s Gabriel Allon, Brad Taylor’s Pike Logan, Brad Thor’s Scot Harvath, and Dan Brown’s Robert Langdon."
17,Shut Up and Sing,,c,0.326488,3.4,Laura Ingraham,"Feisty radio sensation Laura Ingraham is tired of the Hollywood Left--and she has all the answers in this pugnacious, funny, and devastating critique of the liberals who hate America"
18,Meant To Be,,n,0.179999,4.4,Melody Grace ,"Perfect for fans of Bella Andre, Susan Mallery, and Mary Kay Andrews, 'Meant to Be' is a gorgeously romantic feel-good beach read about a runaway bride searching for true love on Cape Cod. Poppy Somerville believes in happily-ever-after. It's the reason her romance novels have won devoted readers all over the world - and why she's broken off her engagement just weeks before the wedding instead of settling for less than true love. Escaping to her aunt's beach cottage in Sweetbriar Cove, Poppy is looking for inspiration to end her writer's block and finish her new book. She just wasn't counting on the handsome, gruff contractor making such a racket next door. Cooper Nicholson doesn't believe in soul-mates. He thought he'd found his forever once, and the world proved him wrong, so when the cute brunette comes storming over and demands he keep the noise down, romance is the last thing on his mind. But his new neighbor is full of surprises, and soon, their chemistry is too hot to ignore. As they grow closer, they discover fiction has nothing on the plot twists life has in store. But will Cooper find a way to let go of the past and risk his heart again? And can Poppy find her happy ending - on and off the page? Find out in the new sweet and sexy small-town romance from New York Times bestselling author, Melody Grace! The Sweetbriar Cove Series: #1 Meant to Be #2 All for You #3 The Only One #4 I'm Yours #5 Holiday Kisses #6 No Ordinary Love #7 Wildest Dreams #8 This Kiss #9 Always Be Mine #10 Two Hearts #11 The Story of Us PRAISE FOR MELODY GRACE: ""Melody Grace created fascinating characters that are simply I-R-R-E-S-I-S-T-I-B-L-E ! Her stories leave you with a big smile on your face and a heart bursting with love."" - A Bookish Escape Blog ""Sexy and sweet: the perfect summer read!"" - Corinne Michaels, New York Times bestselling author ""Heartwarming, swoony, and sexy as hell."" - Claire Contreras, New York Times bestselling author ""Sizzling summer perfection! Melody Grace does it again."" - Kendall Ryan, New York Times bestselling author ""Sizzling hot and super emotional - the perfect combo!"" - NYT and USA Today bestselling Lauren Blakely ""A roller coaster ride of pure emotion... beautifully written."" Blame it on the Rain Reviews"
19,The Right Man,,c,0.173484,4.6,Thomas Paine,"The Rights of Man: Thomas Paine. The astonishment which the French Revolution has caused throughout Europe should be considered from two different points of view: first as it affects foreign peoples, secondly as it affects their governments. The cause of the French people is that of all Europe, or rather of the whole world; but the governments of all those countries are by no means favorable to it. It is important that we should never lose sight of this distinction. We must not confuse the peoples with their governments; especially not the English people with its government. The government of England is no friend of the revolution of France. Of this we have sufficient proofs in the thanks given by that weak and witless person, the Elector of Hanover, sometimes called the King of England, to Mr. Burke for the insults heaped on it in his book, and in the malevolent comments of the English Minister, Pitt, in his speeches in Parliament."
20,Ten Minutes from Normal,,c,0.453927,3.7,Karen Hughes,"""The rule of thumb in any White House is that nobody is indispensable except the president,"" said The New York Times, ""but Karen Hughes has come as close to that description as any recent presidential aide."" Karen Hughes has worked beside President George W. Bush since, as she says, ""the motorcade was only one car and he was sometimes the one driving it."" As counselor to the president, she brought the working mom’s perspective to the White House, often asking of President Bush’s policies, ""What does this mean for the average person?"" Yet the move from Texas to Washington was hard on her family, and in a controversial, headline-making decision that reverberated across America, she summoned the courage to say, ""Mr. President, I love you, but I need to move my family home to Texas."" There, Hughes continues to advise the president, where the kitchen wall calendar marks the State of the Union message side by side with her son’s orthodontist appointments. Reading Ten Minutes from Normal - the title comes from the campaign trail - one is instantly absorbed in what it’s like to be a ""normal"" person who goes to work at the White House as a part of the president’s inner circle. Told in Karen Hughes’s disarmingly down-to-earth, warm, often funny, and frank voice, the book is a remarkable blend of an ordinary woman’s life, with all its compromises and everyday decisions, and a keenly insightful look at American politics and America’s forty-third president. This is a book for the legions of women and men everywhere who are seeking new inspiration for how to reorder their priorities and achieve balance in their lives. Most important, in a post-9/11 world, Hughes redefines the very notion of what is ""normal"" as something special and precious, never to be taken for granted in America again."
21,Hillary's Scheme,,c,0.306607,3.6,Carl Limbacher,"Can this country survive another Clinton presidency? Two terms of “Slick Willy” were bad enough. Now, numerous political experts and people close to the Clinton family hint that Hillary is plotting to retake the White House and ring in another four—or eight—years of a Clinton as commander in chief. She denies any presidential bid is in the works. But a few years before she entered the Senate race, Hillary claimed she would never run for any elective office whatsoever. In shocking detail, Hillary’s Scheme confirms the worst fear of tens of millions of Americans: that Hillary Clinton indeed plans to run for president within the next few years. This explosive, behind-the-scenes book by investigative journalist Carl Limbacher blows the lid off the New York senator’s plans for a grand political coup, something she has been carefully and quietly plotting for more than 20 years. Limbacher conducted extensive research into Hillary’s past and secured exclusive interviews with Clinton insiders—and even questioned Hillary herself—to bring you the real story. What he uncovers are the truly juicy morsels, the backroom deals, and the insider wrangling around Hillary’s presidential ambitions that aren’t being reported in the mainstream press. If you love to hate Hillary or are just curious about one of America’s most controversial figures, there’s plenty in this book to get your blood boiling. You’ll discover the answers to questions Hillary is unwilling to address in public, including: Why is she not likely to wait until 2008 to enter the race for president? How did she torpedo Al Gore’s chances for a rematch with President Bush? Where are the millions of dollars she’s supposedly raising for the Democratic Party really going? Why does she dodge tough questions about her husband’s abysmal record on fighting international terrorism? And many, many more! If you don’t think that Hillary Clinton has a fighting chance to win the presidency, you must read this book. With startling prescience, Limbacher draws parallels between today’s political environment and that which existed in 1992—the year George H. W. Bush lost the race to an upstart governor from Arkansas. You don’t need to be a member of the “vast right-wing conspiracy” or even a Republican to be concerned about what Hillary in the White House would mean for the presidency, the Constitution, and America as we know it."
22,The French Betrayal of America,,c,0.3414,3.3,Kenneth R. Timmerman,"Can we trust France? Apparently not. After more than 200 years of shared history and interests, the U.S.-France marriage looks as if it's ending in an acrimonious divorce. Here is the shocking insider account. In the wake of French behavior at the United Nations, where Foreign Minister Dominique de Villepin systematically undermined the efforts of Secretary of State Colin Powell to convince the Security Council to authorize force against Iraq, Americans have at best come to suspect our ally of double dealing, and at worst come to view them as the enemy. Almost daily over the past year, new stories have emerged of how the government of French President Jacques Chirac has sought to undermine the U.S. war on terror, publicly sniping at America and inciting other countries to do the same. What's wrong with France? What's behind their recent perfidy? According to bestselling author Kenneth R. Timmerman, the American public doesn't know half the story. After they read The French Betrayal of America, American anger at France will turn to outrage. Timmerman, who worked as a journalist in France for eighteen years and knows the players on both sides, lifts the veil of Jacques Chirac's scandalous love affair with Saddam Hussein, beginning in 1975, when he took him on a tour of top-secret French nuclear facilities. The French attitude toward the dictator, which seemed to baffle American politicians, was in fact entirely predictable. Put bluntly, it was all about money, oil, and guns. Chirac needed Saddam's oil and Saddam's money, and Saddam needed French weapons and French nuclear technology. Despite this, the relationship between France and America was not only amicable but at times very mutually beneficial. That was until the most recent war on Iraq, where France turned the tables, engaging in dirty diplomacy and helping to sway other European countries to their side. French war coverage was not merely one-sided: It was viciously inaccurate, skewed, and openly anti-American. Timmerman also presents incredible new evidence of France's duplicity, including the fact that the French stood to gain $100 billion from secret oil contracts they had concluded with Saddam Hussein. The French Betrayal of America raises questions of whether the nuclear cooperation agreements still in force with the French today should be canceled in light of France's behavior. Our security interests no longer converge, and our economic systems increasingly appear to be at loggerheads. The war in Iraq harshly exposed French treachery and their desire to do business with the worst of international tyrants, putting their economy, their international standing, and their relationship with a 200-year-old friend in severe jeopardy. Shocking new revelations in The French Betrayal of America.The French president lied to Bush and to the public about the war in Iraq. President Jacques Chirac had personally told President George W. Bush well ahead of time that France would be America's side. France urged Saddam to commit genocide. Saddam launched his genocidal campaign against the Marsh Arabs in southern Iraq to make their region ""safe"" for French oil engineers. France helped build Saddam's long-range missiles and nukes. Based on exclusive access to new documents, provided by Iraq to the United Nations -- that French defense companies were key partners in helping Saddam Hussein perfect the long-range missiles that killed U.S. soldiers in Saudi Arabia in 1991 and rained terror onto Israel.  Chirac has blocked cooperation on a high-profile terrorism case. France's top counter-terrorism judge was ordered to stop cooperating with the United States in the prosecution of Zacarias Moussaoui despite mounds of documents that would have helped the United States to convict Moussaoui of conspiracy to commit mass murder. France illegally sold U.S. military secrets to Saddam Hussein. A prominent French defense company shipped U.S.-designed laser designator pods to Iraq in the 1980s that compromised the most high-tech weapons in the U.S. arsenal. President Mitterrand, a Socialist, became Ronald Reagan's best ally in Europe. The French Betrayal of America reveals the extent of French strategic and intelligence cooperation with the United States at the peak of the Cold War, in areas that will surprise readers on both sides of the Atlantic. The French ran a key agent inside the KGB, whose ""cosmic"" reach -- right up to the general secretary of the Communist Party of the Soviet Union -- hastened the collapse of the Soviet Union.  President Chirac almost went to jail for corruption. Chirac was on the verge of getting indicted on corruption charges in 1999 until he cooked up an immunity deal with the head of the French Supreme Court, former Socialist foreign minister Roland Dumas. While the French corruption scandals are well known in France, they have rarely been reported in the United States and will alternately shock and amuse American readers. The Bush administration is now offering France the secrets of our national missile defense. The French Betrayal of America reveals the hitherto top secret missile defense cooperation between the United States and France that has taken off at precisely the same time the Chirac government was undermining the United States on Iraq. Meanwhile, United States and French nuclear weapons designers continue to meet to exchange secrets of maintaining our respective nuclear arsenals."
23,Tales from the Left Coast,,c,0.452303,3.4,James Hirsen,"When Barbra Streisand sends Dick Gephardt a personal fax, it makes headline news. When international relations expert Sean Penn leads his own ""tour of peace"" in Baghdad, every news desk across the country reports it. It's no secret that Hollywood has a leftward tilt when it comes to politics. But what the celebrity-fawning media fail to show is how Hollywood's liberal bias affects actors, movies, and even public policy. In Tales from the Left Coast, author and political commentator James Hirsen digs deep into the liberal underbelly of Hollywood to reveal how biased politics have corrupted the entire entertainment industry. Through extensive research and scores of interviews, Hirsen uncovers some of the most ridiculous, infuriating, and damning political stunts pulled by celebrities of yesterday and today, and he traces the tangled web of influence the Hollywood elite have over politicians in Washington, D.C."
24,Hating America,,c,0.513793,3.5,Barry Rubin,"Reviled as an imperialist power, an exporter of destructive capitalism, an arrogant crusader against Islam, and a rapacious over-consumer casually destroying the planet, it seems that the United States of America has rarely been less esteemed in the eyes of the world. In such an environment, one can easily overlook the fact that people from other countries have, in fact, been hating America for centuries. Barry Rubin and Judith Colp Rubin here draw on sources from a wide range of countries to track the entire trajectory of anti-Americanism. With this powerful work, the Rubins trace the paradox that is America, a country that is both the most reviled and most envied land on earth. In the end, they demonstrate, anti-Americanism has often been a visceral response to the very idea--as well as both the ideals and policies--of America itself, its aggressive innovation, its self-confidence, and the challenge it poses to alternative ideologies."
25,The Third Terrorist,,c,0.228018,4.4,Jayna Davis,"Timothy McVeigh and Terry Nichols were not the lone conspirators in the Oklahoma City bombing-the attack that killed nearly 170 people in a few short seconds. They were part of a greater scheme, one which involved Islamic terrorists and at least one provable link to Iraq. This book, written by the relentless reporter who first broke the story of the Mideast connection, is filled with new revelations about the case and explains in full detail the complete, and so far untold, story behind the failed investigation-why the FBI closed the door, what further evidence exists to prove the Iraqi connection, why it has been ignored, and what makes it more relevant now than ever. Told with a gripping narrative style and rock-solid investigative journalism and vetted by men such as former CIA director James Woolsey, Davis's piercing account is the first book to set the record straight about what really happened April 19, 1995."
26,Endgame,,c,0.474969,4.3,Chloe Walsh,"My name is Mercy James and I've always had a three-point plan. 1. Don't fall in love in high school. 2. Get through senior year and snag a full-ride to college. 3. Get the hell away from my irresponsible mother. I didn't think that was too much to ask for, and I've worked damn hard to make it a reality. Until my mother went and did the unthinkable! She's pregnant. Yep, the woman-child only went and got knocked up by a man who lives on the other side of the country. As if it wasn't bad enough to uproot my life six weeks before senior year, Mom's new beau comes with baggage. A sweet stepsister, Amelia And the b*stard of all b*stards, Rourke. Rourke is a senior like me, and he doesn't want me in his school, much less his home. We're living side by side now, bedrooms apart, and he is every inch the bully I expected him to be. Rourke's hell bent on getting rid of me and there's no limit the douchebag won't stoop to in order to make that happen. Thing is, I don't want to be here either, and if Rourke expects me to bow down or crack under his torment, he has another thing coming. I'm nobody's bitch and he's about to learn that... Endgame is a standalone, high school bully romance novel. Due to its explicit language and sexual content, this book is recommended for mature readers."
27,Spin Sisters,,c,0.499456,3.7,Myrna Blyth,"Myrna Blyth, former editor-in-chief of Ladies' Home Journal, was part of the Spin Sisters media elite for over twenty years. In Spin Sisters, she tells the truth about the business she knows so well---its power and influence, its manipulations, and frequently misguided politics. Spin Sisters is an eye-opener that will change the way you think about a major influence on your life---and about yourself."
28,All the Shah's Men,,n,0.166822,4.6,Stephen Kinzer,"With a thrilling narrative that sheds much light on recent events, this national bestseller brings to life the 1953 CIA coup in Iran that ousted the country’s elected prime minister, ushered in a quarter-century of brutal rule under the Shah, and stimulated the rise of Islamic fundamentalism and anti-Americanism in the Middle East. Selected as one of the best books of the year by the Washington Post and The Economist, it now features a new preface by the author on the folly of attacking Iran."
29,Dangerous Dimplomacy,,c,0.15967,4.8,Theo Tschuy,"A stirring biography of courage in the face of evil chronicles the life of Carl Lutz, a Swiss diplomat who saved 62,000 Jews from certain death at the hands of the Nazis."
30,The Price of Loyalty,,l,0.888066,4.3,Ron Suskind,"Updated with a new afterword and including a selection of key documents, this is the explosive account of how the Bush administration makes policy on war, taxes, and politics -- its true agenda exposed by a member of the Bush cabinet. This vivid, unfolding narrative is like no other book that has been written about the Bush presidency. At its core are the candid assessments of former Secretary of the Treasury Paul O'Neill, the only member of Bush's cabinet to leave and speak frankly about how and why the administration has come to its core policies and decisions -- from cutting taxes for the rich to conducting preemptive war. O'Neill's account is supported by Pulitzer Prize-winning journalist Ron Suskind's interviews with numerous participants in the administration, by transcripts of meetings, and by voluminous documents. The result is a disclosure of breadth and depth unparalleled for an ongoing presidency. As readers are taken to the very epicenter of government, Suskind presents an astonishing picture of a president so carefully managed in his public posture that he is a mystery to most Americans. Now, he is revealed."
31,"House of Bush, House of Saud",,l,0.518954,4.5,Craig Unger,"Newsbreaking and controversial -- an award-winning investigative journalist uncovers the thirty-year relationship between the Bush family and the House of Saud and explains its impact on American foreign policy, business, and national security. House of Bush, House of Saud begins with a politically explosive question: How is it that two days after 9/11, when U.S. air traffic was tightly restricted, 140 Saudis, many immediate kin to Osama Bin Laden, were permitted to leave the country without being questioned by U.S. intelligence? The answer lies in a hidden relationship that began in the 1970s, when the oil-rich House of Saud began courting American politicians in a bid for military protection, influence, and investment opportunity. With the Bush family, the Saudis hit a gusher -- direct access to presidents Reagan, George H.W. Bush, and George W. Bush. To trace the amazing weave of Saud- Bush connections, Unger interviewed three former directors of the CIA, top Saudi and Israeli intelligence officials, and more than one hundred other sources. His access to major players is unparalleled and often exclusive -- including executives at the Carlyle Group, the giant investment firm where the House of Bush and the House of Saud each has a major stake. Like Bob Woodward's The Veil, Unger's House of Bush, House of Saud features unprecedented reportage; like Michael Moore's Dude, Where's My Country? Unger's book offers a political counter-narrative to official explanations; this deeply sourced account has already been cited by Senators Hillary Rodham Clinton and Charles Schumer, and sets 9/11, the two Gulf Wars, and the ongoing Middle East crisis in a new context: What really happened when America's most powerful political family became seduced by its Saudi counterparts?"
32,The Death of Right and Wrong,,c,0.28746,4.2,Tammy Bruce,"If you believe children should be seduced into warped sexual behavior by the Gay Elite, if you think confessed murderers should be set free by defense attorneys who know how to wield the race card, if you feel promiscuous gay men should be empowered to spread AIDS and other sexually transmitted diseases, don’t read this book. But if you’ve always suspected that factions on the Left are trying to destroy the values that define our civilization, this book proves it. Through the pages of The Death of Right and Wrong, author, activist, and pundit Tammy Bruce takes you inside the chilling world of the Left—a place where morals and decency have been turned on their heads and the crisp distinction between Right and Wrong has been blurred into a mushy, gray mess. In this world, the Gay Elite exploit our children—under the guise of tolerance and education—to satisfy their sexual obsessions. In this world, the Black Elite laud convicted murderers as community heroes and award-winning “artists.” In this world, the Feminist Elite fawn over a woman who mercilessly killed all five of her children. And much more that will offend your sense of decency and threaten your basic values. Ms. Bruce smashes the facades of “Tolerance,” “Understanding,” and other Leftist slogans to reveal the ugly truth of their agenda. As a gay activist and former president of the Los Angeles chapter of the National Organization of Women, she witnessed firsthand the Left’s attempts to undermine our millennia-old code of morals and values, aided by politically biased media and academia. And if the news headlines of today are any indication, they’re winning the culture war. Unless we act now, we are doomed at the hands of special interest groups on the Left who want nothing more than to undermine our ability to judge right from wrong in order to foist their own selfish, anything-goes society on the rest of us. This book reveals what they’re doing, how they’re doing it, and what we can do to restore decency in our society. You’ll discover powerful tools in these pages to help you understand the psychology of the Left—what makes them tick and, more importantly, how to stop them from eroding our values completely. Full of controversial opinions and countless examples ripped from the headlines, The Death of Right and Wrong is a powerful, eye-opening book that you won’t want to be without."
33,Useful Idiots,,c,0.413691,3.7,Mona Charen,"Who’s on the wrong side of history? The liberals who are always willing to blame America first and defend its enemies. They've tried to rewrite history, but Mona Charen won't let them as she calls out liberal hypocrisy during the Cold War and afterward; from DC elites like Hillary Clinton, John Kerry, and Jimmy Carter to Hollywood celebs like Woody Allen, Jane Fonda, and Martin Sheen to academic snobs like Noam Chomsky, Susan Sontag, and many more. Charen's devastating critique of the left's philosophical incompetence is a must-read for Americans on both sides of the aisle."
34,The O'Reilly Factor,,c,0.125884,3.8,Bill O'Reilly,"The million-copy New York Times bestseller from the Fox News anchor who’s brought new excitement–and massive amounts of populist common sense and rock-solid honesty–to television news. Now four seasons strong, Bill O’Reilly’s nightly cable news program, “The O’Reilly Factor,” is one of the hottest shows on the air. In book form, The O’Reilly Factor has sold over a million copies and spent fourteen weeks at the top of the New York Times bestseller list. Obviously, Bill O'Reilly has made his mark. His blunt, ironic, no-holds-barred style has earned him a devoted audience–friends and foes alike–who send him five thousand letters every week. And with the wit and intelligence that have made him one of the most talked-about stars in both television and publishing, O’Reilly continues to identify what’s right, what’s wrong, and what’s absurd in the political, social, economic, and cultural life of America."
35,Let Freedom Ring,,c,0.343835,4.2,Phillip Keveren,"(Piano Solo Songbook). Features Phillip Keveren's great solo arrangements of 14 favorites celebrating the land of the free, including: America, the Beautiful * Anchors Aweigh * Battle Hymn of the Republic * God Bless Our Native Land * My Country, 'Tis of Thee * Semper Fidelis * Stars and Stripes Forever * Yankee Doodle Boy * You're a Grand Old Flag * and more."
36,Those Who Trespass,,c,0.220698,3.7,Bill O'Reilly,"From the mega-bestselling author of The O’Reilly Factor, The No Spin Zone, and Who’s Looking Out for You?, a mystery thriller about the fast-paced and ruthless world of TV journalism. With three consecutive number one bestsellers, Bill O’Reilly has proved that he’s the king of the nonfiction list. With Those Who Trespass, he extends his bestselling domain to fiction, giving readers a novel that’s an exciting look into the no-holds-barred world of television news. One by one, high-level executives and correspondents are being murdered. Soon it becomes clear that the killings are linked, the work of a bitter former newsman exacting revenge on those who derailed his career. Tommy O’Malley, a tough but warmhearted New York City detective, is assigned to crack the widening, high-profile murder cases, but encounters competition from a beautiful and tenacious tabloid reporter, Ashley Van Buren. As the story unfolds, Tommy and Ashley quickly discover they’ve got much more in common than a knack for solving crimes. Those Who Trespass combines suspense, action, psychodrama, and romance with a fascinating glimpse into the harsh realities behind the delivery of our daily dose of television news--a picture only Bill O’Reilly could bring to life."
37,Bias,,c,0.293995,4.1, Ed Morrissey Bernard Goldberg,"In his nearly thirty years at CBS News, Emmy Award–winner Bernard Goldberg earned a reputation as one of the preeminent reporters in the television news business. When he looked at his own industry, however, he saw that the media far too often ignored their primary mission: objective, disinterested reporting. Again and again he saw that they slanted the news to the left. For years Goldberg appealed to reporters, producers, and network executives for more balanced reporting, but no one listened. The liberal bias continued. In this classic number one New York Times bestseller, Goldberg blew the whistle on the news business, showing exactly how the media slant their coverage while insisting they’re just reporting the facts."
38,Slander,,c,0.2606,3.6,Ann Coulter ,"The hottest and most controversial book of the year! Find out who really controls the media in America. “[Ann Coulter] is never in doubt. And that, along with her bright writing, sense of irony and outrage, and her relish at finally hitting back at political opponents (especially in the media) is what makes Slander such refreshing and provocative reading.” —Los Angeles Times “[Ann Coulter] is a fluent polemicist with a gift for Menckenesque invective . . . and she can harness such language to subtle, syllogistic argument.”—Washington Post Book World “The most popular nonfiction book in America.”—New York Times “The real value of Slander . . . is not in the jokes or devastating exposés of liberal politicians and their allies, but the serious and scholarly study of just how entrenched the media prejudice is against anyone whose politics are even faintly conservative.” —New York Sun “Written with a great deal of passion . . . the real source of its strength—and its usefulness—was its painstaking marshalling of evidence . . . More important than [High Crimes and Misdemeanors] because it addresses a much broader issue, and one of lasting significance.”—National Review"
39,The Savage Nation,,c,0.316076,3.6,Michael Savage,"The controversial radio talk show host presents his views on American culture and society, arguing the need for a return to traditional American values."
40,Deliver Us from Evil,,c,0.71099,4.3,David Baldacci,"Locked in a battle of nerve and wits, a mysterious intelligence operative and a vigilante agent race against time to take down a greedy businessman bent on destroying millions of lives in this #1 New York Times bestselling thriller. Evan Waller is a monster... He has built a fortune from his willingness to buy and sell anything . . . and anyone. In search of new opportunities, Waller has just begun a new business venture: one that could lead to millions of deaths all over the globe. On his trail is Shaw, the mysterious operative from The Whole Truth, who has tracked Waller to Provence and must prevent him from closing his latest deal. But someone else is pursuing Waller: Reggie Campion, an agent for a secret vigilante group headquartered in a musty old English estate--and she has an agenda of her own. Hunting the same man and unaware of each other's mission, Shaw and Reggie will be caught in a deadly duel of nerves and wits. Hitchcockian in its intimate buildup of suspense and filled with the remarkable characters, breathtaking plot turns, and blockbuster finale that are David Baldacci's hallmarks, DELIVER US FROM EVIL is one of the most gripping thrillers you'll read this year."
41,Give Me a Break,,c,0.431736,4.3,John Stossel,"Working as a correspondent for 20/20 and Good Morning America, John Stossel confronted dozens of scam artists: from hacks who worked out of their basements to some of America's most powerful executives and leading politicians. His efforts shut down countless crooks - both famous and obscure. Then he realized what the real problem was. In Give Me a Break, Stossel takes on the regulators, lawyers, and politicians who thrive on our hysteria about risk and deceive the public in the name of safety. Drawing on his vast professional experience (as well as some personal ones), Stossel presents an engaging, witty, and thought-provoking argument about the beneficial powers of the free market and free speech."
42,The Enemy Within,,c,0.298692,4.8,Kris Lundgaard,"How would you like to fight an enemy who, just as you have him on the ropes, always evades the final blow? An enemy who hides just out of reach, lulling you into a fall sense of security, until he drops from nowhere onto your back?  That's the advantage of indwelling sin—it lurks in an unsearchable fortress where you can't get to it. But if God has redeemed us from sin—and given us his Holy Spirit to sanctify us and give us strength against sin—why do we go on sinning? Drawing from two masterful works by English theologian John Owen, Kris Lundgaard takes aim at the enemy within. He shares his discovery of hope, renewed love for Christ, an approach to holiness by faith in him."
43,The Real America,,c,0.198896,3.7,Glenn Beck,"There are some things people think but don't say.... ""Political correctness is the classic Great Idea Gone Wrong. All it's done is shut us up. It hasn't changed anybody's mind. It hasn't changed our hearts. It's changed our faces. It's taken every opinion we have, it's taken every joke we have, and it's forced us to conceal it and hide it and bury it. It's made us superficial."" ""Terrorism isn't caused by poverty, poverty is caused by terrorism. Terror is a tool used by those seeking power to keep the masses in need of an answer."" ""Too many people blame everything on everybody else, and because they do, they will expect too little from themselves and too little from their children."" Glenn Beck says all that, and more. As one of the most listened to nationally syndicated radio talk-show hosts and the driving force behind the Rallies for America, Glenn Beck entertains, inspires, and informs millions of listeners. In The Real America, Beck continues to tell it like it really is, cutting through the fog of modern-day pundits and pontificators who have made it their mission to undermine and underestimate the greatness of America, our strength as Americans, and the power of the American spirit. With his inimitable combination of self-effacing humor and heartfelt conviction, Glenn rails against many of the forces that keep us from our potential as a nation and as individuals -- and tells how to overcome them. His topics include: Family and community, Politics, Personal responsibility,  Race relations, Religion, Political correctness, the media, Hollywood, and celebrities, Abortion and the deat, penalty, Alcohol and drugs,  Why I wave the flag. Glenn Beck's compelling message in The Real America echoes the ideas he has delivered to thousands of people with his groundbreaking Rallies for America: Once we connect with our power individually, we can empower others -- and then we can be as great and as grand as we have always wanted to be as a person, as a people, and as a nation."
44,Who's Looking Out for You?,,c,0.304319,3.6,Bill O'Reilly,"From the mega-bestselling author of The O'Reilly Factor and The No Spin Zone, a no-holds-barred exposé of the people and institutions who are letting Americans down – and what we should do about it. Bill O’Reilly is mad as hell – and he’s not going to let you take it anymore. In his most powerful and personal book yet, this media powerhouse and unstoppable truth-teller takes on those individuals and institutions in American life who are failing in their duties – big-time. In his inimitable style, mixing wit, pugnacity, and plain common sense, O’Reilly kicks butt and takes (and also names) names – from crooked corporate weasels to venal politicians to lazy and/or politically correct bureaucrats to sexually predatory priests and the Church hierarchy that protects them to a media establishment rife with political bias and economically hooked on violence and smut. At the same time that he calls the famous and powerful to account, he dares to get personal, questioning just how much our closest friends, families, and lovers do look out for us, and delivering a powerful message about personal responsibility and self-reliance in an uncertain world. He forces us to ask just how much genuine altruism is left in a society that thrives on self-indulgence and ruthless competition. Who’s Looking Out for You? is a book that boldly confronts our worst fears and biggest problems in a post-9/11, post-corporate-meltdown world. Its sage, candid advice on regaining control and trust in these troubled times will resonate with the millions of readers and viewers who have come to believe in Bill O’Reilly as the man who speaks for them."
45,The Official Handbook Vast Right Wing Conspiracy,,c,0.366542,3.8,Mark W. Smith,"Now complete with the most current political and election year issues, The 2006 Edition of the Official Handbook of the Vast Right-Wing Conspiracy is a practical guide to help you win arguments with even the looniest of liberals."
